,Code,HYB,EHT,FDS,FDT,PHT,RTA,TWT,YIELD,PROT,SDL,STR,SDS,OIL
1,CHECK,CHECK,121.3072669,1.943226825,1.894048555,268.4385574,95.35923751,59.70806516,135.7425759,8.380137316,23.1145624,72.40199572,20.80709435,3.824374322
2,ORG1,ORG,120.4548726,1.814153216,1.914853083,236.5587854,77.30634131,54.42632706,135.2840798,9.042807858,22.18663872,72.38920628,19.90106935,3.972422365
3,ORG2,ORG,109.5743098,1.737766233,1.890918041,226.7898179,83.31775678,54.88300463,113.2893354,9.914001019,22.38250026,72.37759643,19.87047541,4.027193084
4,ORG4,ORG,118.4116333,1.94487882,1.91472743,226.1350259,87.15876047,49.72105081,127.1421797,8.380137316,22.26012309,72.40705291,20.16857672,4.085461458
5,UIUC1,CONV,105.1493805,1.800552935,1.89338439,232.2331898,83.54097278,57.43122737,138.6985595,8.327925381,22.87620432,72.40611261,20.83693879,3.73066125
6,UIUC2,CONV,103.1723617,1.810070929,1.897078533,230.3360637,82.8137739,57.57103863,143.0498477,8.284230564,23.13346494,72.40433863,20.99911645,3.771928519
7,UIUC3,CONV,112.5431009,1.797327099,1.88236468,258.6817746,87.83778239,58.32320812,152.2244305,8.559848354,22.97646519,72.40209442,20.86678186,3.765524915
8,UIUC4,CONV,112.3069857,1.77975959,1.867266539,259.1259601,88.90569045,57.26688745,148.7316426,8.462368022,22.62380046,72.40309092,20.7592123,3.768301057
9,UIUC5,CONV,89.68093072,1.739403294,1.88731715,216.8885692,75.94882923,57.17775483,119.789886,8.811086776,22.04941336,72.39907296,19.86565334,3.791405783
10,UIUC6,CONV,99.93473293,1.802021375,1.888645481,227.8811379,82.42039489,57.697919,127.3024471,8.699155187,22.69488529,72.46800189,20.50651879,3.844544144
11,UIUC7,CONV,102.679944,1.79277479,1.886994043,237.0879102,87.54215701,56.31245252,137.667452,8.233439474,22.06505019,72.40423079,19.91042453,3.775175099
12,UIUC8,CONV,92.53063825,1.805658059,1.887227398,221.860972,80.22148119,57.18826132,107.4040265,8.856220777,22.07794093,72.39794545,19.90594029,3.82518306
